"","SPP","SYS_NM","Area","escapement","Year","Enhancement_Rank"
"2162","CM","MONKEY CREEK","27",1200,1972,"LOW"
"2163","CM","MONKEY CREEK","27",400,1973,"LOW"
"2164","CM","MONKEY CREEK","27",1000,1974,"LOW"
"2165","CM","MONKEY CREEK","27",200,1975,"LOW"
"2166","CM","MONKEY CREEK","27",200,1976,"LOW"
"2167","CM","MONKEY CREEK","27",60,1977,"LOW"
"2168","CM","MONKEY CREEK","27",200,1978,"LOW"
"2169","CM","MONKEY CREEK","27",25,1979,"LOW"
"2170","CM","MONKEY CREEK","27",100,1980,"LOW"
"2171","CM","MONKEY CREEK","27",100,1981,"LOW"
"2172","CM","MONKEY CREEK","27",50,1982,"LOW"
"2173","CM","MONKEY CREEK","27",NA,1983,"LOW"
"2174","CM","MONKEY CREEK","27",75,1984,"LOW"
"2175","CM","MONKEY CREEK","27",350,1985,"LOW"
"2176","CM","MONKEY CREEK","27",250,1986,"LOW"
"2177","CM","MONKEY CREEK","27",325,1987,"LOW"
"2178","CM","MONKEY CREEK","27",200,1988,"LOW"
"2179","CM","MONKEY CREEK","27",75,1989,"LOW"
"2180","CM","MONKEY CREEK","27",350,1990,"LOW"
"2181","CM","MONKEY CREEK","27",100,1991,"LOW"
"2182","CM","MONKEY CREEK","27",600,1992,"LOW"
"2183","CM","MONKEY CREEK","27",500,1993,"LOW"
"2184","CM","MONKEY CREEK","27",NA,1994,"LOW"
"2185","CM","MONKEY CREEK","27",0,1995,"LOW"
"2186","CM","MONKEY CREEK","27",450,1996,"LOW"
"2187","CM","MONKEY CREEK","27",NA,1997,"LOW"
"2188","CM","MONKEY CREEK","27",NA,1998,"LOW"
"2189","CM","MONKEY CREEK","27",NA,1999,"LOW"
"2190","CM","MONKEY CREEK","27",NA,2000,"LOW"
"2191","CM","MONKEY CREEK","27",NA,2001,"LOW"
"2192","CM","MONKEY CREEK","27",NA,2002,"LOW"
"2193","CM","MONKEY CREEK","27",NA,2003,"LOW"
"2194","CM","MONKEY CREEK","27",NA,2004,"LOW"
"2195","CM","MONKEY CREEK","27",NA,2005,"LOW"
"2196","CM","MONKEY CREEK","27",NA,2006,"LOW"
"2197","CM","MONKEY CREEK","27",NA,2007,"LOW"
"2198","CM","MONKEY CREEK","27",NA,2008,"LOW"
"2199","CM","MONKEY CREEK","27",NA,2009,"LOW"
"2200","CM","MONKEY CREEK","27",NA,2010,"LOW"
"2201","CM","MONKEY CREEK","27",NA,2011,"LOW"
"2202","CM","MONKEY CREEK","27",NA,2012,"LOW"
"2203","CM","MONKEY CREEK","27",NA,2013,"LOW"
"2204","CM","MONKEY CREEK","27",NA,2014,"LOW"
"2205","CM","MONKEY CREEK","27",NA,2015,"LOW"
"2206","CM","MONKEY CREEK","27",NA,2016,"LOW"
"2207","CM","MONKEY CREEK","27",NA,2017,"LOW"
"2208","CM","MONKEY CREEK","27",NA,2018,"LOW"
"2209","CM","CLEAGH CREEK","27",NA,1950,"NONE"
"2210","CM","CLEAGH CREEK","27",NA,1951,"NONE"
"2211","CM","CLEAGH CREEK","27",NA,1952,"NONE"
"2212","CM","CLEAGH CREEK","27",500,1953,"NONE"
"2213","CM","CLEAGH CREEK","27",300,1954,"NONE"
"2214","CM","CLEAGH CREEK","27",NA,1955,"NONE"
"2215","CM","CLEAGH CREEK","27",300,1956,"NONE"
"2216","CM","CLEAGH CREEK","27",250,1957,"NONE"
"2217","CM","CLEAGH CREEK","27",250,1958,"NONE"
"2218","CM","CLEAGH CREEK","27",0,1959,"NONE"
"2219","CM","CLEAGH CREEK","27",NA,1960,"NONE"
"2220","CM","CLEAGH CREEK","27",50,1961,"NONE"
"2221","CM","CLEAGH CREEK","27",25,1962,"NONE"
"2222","CM","CLEAGH CREEK","27",60,1963,"NONE"
"2223","CM","CLEAGH CREEK","27",80,1964,"NONE"
"2224","CM","CLEAGH CREEK","27",NA,1965,"NONE"
"2225","CM","CLEAGH CREEK","27",200,1966,"NONE"
"2226","CM","CLEAGH CREEK","27",0,1967,"NONE"
"2227","CM","CLEAGH CREEK","27",100,1968,"NONE"
"2228","CM","CLEAGH CREEK","27",400,1969,"NONE"
"2229","CM","CLEAGH CREEK","27",750,1970,"NONE"
"2230","CM","CLEAGH CREEK","27",25,1971,"NONE"
"2231","CM","CLEAGH CREEK","27",200,1972,"NONE"
"2232","CM","CLEAGH CREEK","27",75,1973,"NONE"
"2233","CM","CLEAGH CREEK","27",0,1974,"NONE"
"2234","CM","CLEAGH CREEK","27",0,1975,"NONE"
"2235","CM","CLEAGH CREEK","27",0,1976,"NONE"
"2236","CM","CLEAGH CREEK","27",0,1977,"NONE"
"2237","CM","CLEAGH CREEK","27",25,1978,"NONE"
"2238","CM","CLEAGH CREEK","27",0,1979,"NONE"
"2239","CM","CLEAGH CREEK","27",0,1980,"NONE"
"2240","CM","CLEAGH CREEK","27",75,1981,"NONE"
"2241","CM","CLEAGH CREEK","27",0,1982,"NONE"
"2242","CM","CLEAGH CREEK","27",0,1983,"NONE"
"2243","CM","CLEAGH CREEK","27",NA,1984,"NONE"
"2244","CM","CLEAGH CREEK","27",0,1985,"NONE"
"2245","CM","CLEAGH CREEK","27",0,1986,"NONE"
"2246","CM","CLEAGH CREEK","27",NA,1987,"NONE"
"2247","CM","CLEAGH CREEK","27",25,1988,"NONE"
"2248","CM","CLEAGH CREEK","27",10,1989,"NONE"
"2249","CM","CLEAGH CREEK","27",10,1990,"NONE"
"2250","CM","CLEAGH CREEK","27",10,1991,"NONE"
"2251","CM","CLEAGH CREEK","27",40,1992,"NONE"
"2252","CM","CLEAGH CREEK","27",50,1993,"NONE"
"2253","CM","CLEAGH CREEK","27",30,1994,"NONE"
"2254","CM","CLEAGH CREEK","27",0,1995,"NONE"
"2255","CM","CLEAGH CREEK","27",250,1996,"NONE"
"2256","CM","CLEAGH CREEK","27",NA,1997,"NONE"
"2257","CM","CLEAGH CREEK","27",0,1998,"NONE"
"2258","CM","CLEAGH CREEK","27",NA,1999,"NONE"
"2259","CM","CLEAGH CREEK","27",NA,2000,"NONE"
"2260","CM","CLEAGH CREEK","27",NA,2001,"NONE"
"2261","CM","CLEAGH CREEK","27",NA,2002,"NONE"
"2262","CM","CLEAGH CREEK","27",NA,2003,"NONE"
"2263","CM","CLEAGH CREEK","27",NA,2004,"NONE"
"2264","CM","CLEAGH CREEK","27",NA,2005,"NONE"
"2265","CM","CLEAGH CREEK","27",NA,2006,"NONE"
"2266","CM","CLEAGH CREEK","27",NA,2007,"NONE"
"2267","CM","CLEAGH CREEK","27",NA,2008,"NONE"
"2268","CM","CLEAGH CREEK","27",NA,2009,"NONE"
"2269","CM","CLEAGH CREEK","27",NA,2010,"NONE"
"2270","CM","CLEAGH CREEK","27",NA,2011,"NONE"
"2271","CM","CLEAGH CREEK","27",NA,2012,"NONE"
"2272","CM","CLEAGH CREEK","27",NA,2013,"NONE"
"2273","CM","CLEAGH CREEK","27",NA,2014,"NONE"
"2274","CM","CLEAGH CREEK","27",NA,2015,"NONE"
"2275","CM","CLEAGH CREEK","27",NA,2016,"NONE"
"2276","CM","CLEAGH CREEK","27",NA,2017,"NONE"
"2277","CM","CLEAGH CREEK","27",NA,2018,"NONE"
"2278","CM","KEWQUODIE CREEK","27",NA,1950,"NONE"
"2279","CM","KEWQUODIE CREEK","27",NA,1951,"NONE"
"2280","CM","KEWQUODIE CREEK","27",NA,1952,"NONE"
"2281","CM","KEWQUODIE CREEK","27",1500,1953,"NONE"
"2282","CM","KEWQUODIE CREEK","27",1000,1954,"NONE"
"2283","CM","KEWQUODIE CREEK","27",1000,1955,"NONE"
"2284","CM","KEWQUODIE CREEK","27",2500,1956,"NONE"
"2285","CM","KEWQUODIE CREEK","27",1500,1957,"NONE"
"2286","CM","KEWQUODIE CREEK","27",600,1958,"NONE"
"2287","CM","KEWQUODIE CREEK","27",300,1959,"NONE"
"2288","CM","KEWQUODIE CREEK","27",250,1960,"NONE"
"2289","CM","KEWQUODIE CREEK","27",400,1961,"NONE"
"2290","CM","KEWQUODIE CREEK","27",80,1962,"NONE"
"2291","CM","KEWQUODIE CREEK","27",25,1963,"NONE"
"2292","CM","KEWQUODIE CREEK","27",400,1964,"NONE"
"2293","CM","KEWQUODIE CREEK","27",75,1965,"NONE"
"2294","CM","KEWQUODIE CREEK","27",200,1966,"NONE"
"2295","CM","KEWQUODIE CREEK","27",1500,1967,"NONE"
"2296","CM","KEWQUODIE CREEK","27",450,1968,"NONE"
"2297","CM","KEWQUODIE CREEK","27",1500,1969,"NONE"
"2298","CM","KEWQUODIE CREEK","27",750,1970,"NONE"
"2299","CM","KEWQUODIE CREEK","27",75,1971,"NONE"
"2300","CM","KEWQUODIE CREEK","27",750,1972,"NONE"
"2301","CM","KEWQUODIE CREEK","27",3000,1973,"NONE"
"2302","CM","KEWQUODIE CREEK","27",750,1974,"NONE"
"2303","CM","KEWQUODIE CREEK","27",75,1975,"NONE"
"2304","CM","KEWQUODIE CREEK","27",25,1976,"NONE"
"2305","CM","KEWQUODIE CREEK","27",0,1977,"NONE"
"2306","CM","KEWQUODIE CREEK","27",0,1978,"NONE"
"2307","CM","KEWQUODIE CREEK","27",30,1979,"NONE"
"2308","CM","KEWQUODIE CREEK","27",0,1980,"NONE"
"2309","CM","KEWQUODIE CREEK","27",50,1981,"NONE"
"2310","CM","KEWQUODIE CREEK","27",NA,1982,"NONE"
"2311","CM","KEWQUODIE CREEK","27",NA,1983,"NONE"
"2312","CM","KEWQUODIE CREEK","27",NA,1984,"NONE"
"2313","CM","KEWQUODIE CREEK","27",150,1985,"NONE"
"2314","CM","KEWQUODIE CREEK","27",250,1986,"NONE"
"2315","CM","KEWQUODIE CREEK","27",NA,1987,"NONE"
"2316","CM","KEWQUODIE CREEK","27",200,1988,"NONE"
"2317","CM","KEWQUODIE CREEK","27",100,1989,"NONE"
"2318","CM","KEWQUODIE CREEK","27",50,1990,"NONE"
"2319","CM","KEWQUODIE CREEK","27",150,1991,"NONE"
"2320","CM","KEWQUODIE CREEK","27",600,1992,"NONE"
"2321","CM","KEWQUODIE CREEK","27",100,1993,"NONE"
"2322","CM","KEWQUODIE CREEK","27",NA,1994,"NONE"
"2323","CM","KEWQUODIE CREEK","27",NA,1995,"NONE"
"2324","CM","KEWQUODIE CREEK","27",2500,1996,"NONE"
"2325","CM","KEWQUODIE CREEK","27",NA,1997,"NONE"
"2326","CM","KEWQUODIE CREEK","27",NA,1998,"NONE"
"2327","CM","KEWQUODIE CREEK","27",NA,1999,"NONE"
"2328","CM","KEWQUODIE CREEK","27",NA,2000,"NONE"
"2329","CM","KEWQUODIE CREEK","27",NA,2001,"NONE"
"2330","CM","KEWQUODIE CREEK","27",NA,2002,"NONE"
"2331","CM","KEWQUODIE CREEK","27",NA,2003,"NONE"
"2332","CM","KEWQUODIE CREEK","27",NA,2004,"NONE"
"2333","CM","KEWQUODIE CREEK","27",NA,2005,"NONE"
"2334","CM","KEWQUODIE CREEK","27",NA,2006,"NONE"
"2335","CM","KEWQUODIE CREEK","27",NA,2007,"NONE"
"2336","CM","KEWQUODIE CREEK","27",NA,2008,"NONE"
"2337","CM","KEWQUODIE CREEK","27",NA,2009,"NONE"
"2338","CM","KEWQUODIE CREEK","27",NA,2010,"NONE"
"2339","CM","KEWQUODIE CREEK","27",NA,2011,"NONE"
"2340","CM","KEWQUODIE CREEK","27",NA,2012,"NONE"
"2341","CM","KEWQUODIE CREEK","27",NA,2013,"NONE"
"2342","CM","KEWQUODIE CREEK","27",NA,2014,"NONE"
"2343","CM","KEWQUODIE CREEK","27",NA,2015,"NONE"
"2344","CM","KEWQUODIE CREEK","27",NA,2016,"NONE"
"2345","CM","KEWQUODIE CREEK","27",NA,2017,"NONE"
"2346","CM","KEWQUODIE CREEK","27",NA,2018,"NONE"
"2347","CM","KLOOTCHLIMMIS CREEK","27",NA,1950,"NONE"
"2348","CM","KLOOTCHLIMMIS CREEK","27",NA,1951,"NONE"
"2349","CM","KLOOTCHLIMMIS CREEK","27",NA,1952,"NONE"
"2350","CM","KLOOTCHLIMMIS CREEK","27",1500,1953,"NONE"
"2351","CM","KLOOTCHLIMMIS CREEK","27",1500,1954,"NONE"
"2352","CM","KLOOTCHLIMMIS CREEK","27",0,1955,"NONE"
"2353","CM","KLOOTCHLIMMIS CREEK","27",500,1956,"NONE"
"2354","CM","KLOOTCHLIMMIS CREEK","27",500,1957,"NONE"
"2355","CM","KLOOTCHLIMMIS CREEK","27",500,1958,"NONE"
"2356","CM","KLOOTCHLIMMIS CREEK","27",2000,1959,"NONE"
"2357","CM","KLOOTCHLIMMIS CREEK","27",300,1960,"NONE"
"2358","CM","KLOOTCHLIMMIS CREEK","27",300,1961,"NONE"
"2359","CM","KLOOTCHLIMMIS CREEK","27",450,1962,"NONE"
"2360","CM","KLOOTCHLIMMIS CREEK","27",400,1963,"NONE"
"2361","CM","KLOOTCHLIMMIS CREEK","27",4000,1964,"NONE"
"2362","CM","KLOOTCHLIMMIS CREEK","27",400,1965,"NONE"
"2363","CM","KLOOTCHLIMMIS CREEK","27",200,1966,"NONE"
"2364","CM","KLOOTCHLIMMIS CREEK","27",200,1967,"NONE"
"2365","CM","KLOOTCHLIMMIS CREEK","27",1200,1968,"NONE"
"2366","CM","KLOOTCHLIMMIS CREEK","27",1500,1969,"NONE"
"2367","CM","KLOOTCHLIMMIS CREEK","27",750,1970,"NONE"
"2368","CM","KLOOTCHLIMMIS CREEK","27",200,1971,"NONE"
"2369","CM","KLOOTCHLIMMIS CREEK","27",750,1972,"NONE"
"2370","CM","KLOOTCHLIMMIS CREEK","27",750,1973,"NONE"
"2371","CM","KLOOTCHLIMMIS CREEK","27",2000,1974,"NONE"
"2372","CM","KLOOTCHLIMMIS CREEK","27",750,1975,"NONE"
"2373","CM","KLOOTCHLIMMIS CREEK","27",750,1976,"NONE"
"2374","CM","KLOOTCHLIMMIS CREEK","27",450,1977,"NONE"
"2375","CM","KLOOTCHLIMMIS CREEK","27",0,1978,"NONE"
"2376","CM","KLOOTCHLIMMIS CREEK","27",200,1979,"NONE"
"2377","CM","KLOOTCHLIMMIS CREEK","27",750,1980,"NONE"
"2378","CM","KLOOTCHLIMMIS CREEK","27",100,1981,"NONE"
"2379","CM","KLOOTCHLIMMIS CREEK","27",NA,1982,"NONE"
"2380","CM","KLOOTCHLIMMIS CREEK","27",NA,1983,"NONE"
"2381","CM","KLOOTCHLIMMIS CREEK","27",NA,1984,"NONE"
"2382","CM","KLOOTCHLIMMIS CREEK","27",100,1985,"NONE"
"2383","CM","KLOOTCHLIMMIS CREEK","27",600,1986,"NONE"
"2384","CM","KLOOTCHLIMMIS CREEK","27",500,1987,"NONE"
"2385","CM","KLOOTCHLIMMIS CREEK","27",250,1988,"NONE"
"2386","CM","KLOOTCHLIMMIS CREEK","27",600,1989,"NONE"
"2387","CM","KLOOTCHLIMMIS CREEK","27",250,1990,"NONE"
"2388","CM","KLOOTCHLIMMIS CREEK","27",750,1991,"NONE"
"2389","CM","KLOOTCHLIMMIS CREEK","27",1000,1992,"NONE"
"2390","CM","KLOOTCHLIMMIS CREEK","27",750,1993,"NONE"
"2391","CM","KLOOTCHLIMMIS CREEK","27",NA,1994,"NONE"
"2392","CM","KLOOTCHLIMMIS CREEK","27",600,1995,"NONE"
"2393","CM","KLOOTCHLIMMIS CREEK","27",1700,1996,"NONE"
"2394","CM","KLOOTCHLIMMIS CREEK","27",206,1997,"NONE"
"2395","CM","KLOOTCHLIMMIS CREEK","27",3750,1998,"NONE"
"2396","CM","KLOOTCHLIMMIS CREEK","27",518,1999,"NONE"
"2397","CM","KLOOTCHLIMMIS CREEK","27",6,2000,"NONE"
"2398","CM","KLOOTCHLIMMIS CREEK","27",574,2001,"NONE"
"2399","CM","KLOOTCHLIMMIS CREEK","27",663,2002,"NONE"
"2400","CM","KLOOTCHLIMMIS CREEK","27",NA,2003,"NONE"
"2401","CM","KLOOTCHLIMMIS CREEK","27",NA,2004,"NONE"
"2402","CM","KLOOTCHLIMMIS CREEK","27",NA,2005,"NONE"
"2403","CM","KLOOTCHLIMMIS CREEK","27",NA,2006,"NONE"
"2404","CM","KLOOTCHLIMMIS CREEK","27",NA,2007,"NONE"
"2405","CM","KLOOTCHLIMMIS CREEK","27",NA,2008,"NONE"
"2406","CM","KLOOTCHLIMMIS CREEK","27",NA,2009,"NONE"
"2407","CM","KLOOTCHLIMMIS CREEK","27",NA,2010,"NONE"
"2408","CM","KLOOTCHLIMMIS CREEK","27",NA,2011,"NONE"
"2409","CM","KLOOTCHLIMMIS CREEK","27",NA,2012,"NONE"
"2410","CM","KLOOTCHLIMMIS CREEK","27",NA,2013,"NONE"
"2411","CM","KLOOTCHLIMMIS CREEK","27",NA,2014,"NONE"
"2412","CM","KLOOTCHLIMMIS CREEK","27",NA,2015,"NONE"
"2413","CM","KLOOTCHLIMMIS CREEK","27",NA,2016,"NONE"
"2414","CM","KLOOTCHLIMMIS CREEK","27",NA,2017,"NONE"
"2415","CM","KLOOTCHLIMMIS CREEK","27",NA,2018,"NONE"
"2416","CM","SKIDINE CREEK","27",NA,1950,"NONE"
"2417","CM","SKIDINE CREEK","27",NA,1951,"NONE"
"2418","CM","SKIDINE CREEK","27",NA,1952,"NONE"
"2419","CM","SKIDINE CREEK","27",NA,1953,"NONE"
"2420","CM","SKIDINE CREEK","27",NA,1954,"NONE"
"2421","CM","SKIDINE CREEK","27",NA,1955,"NONE"
"2422","CM","SKIDINE CREEK","27",NA,1956,"NONE"
"2423","CM","SKIDINE CREEK","27",NA,1957,"NONE"
"2424","CM","SKIDINE CREEK","27",NA,1958,"NONE"
"2425","CM","SKIDINE CREEK","27",NA,1959,"NONE"
"2426","CM","SKIDINE CREEK","27",NA,1960,"NONE"
"2427","CM","SKIDINE CREEK","27",NA,1961,"NONE"
"2428","CM","SKIDINE CREEK","27",NA,1962,"NONE"
"2429","CM","SKIDINE CREEK","27",NA,1963,"NONE"
"2430","CM","SKIDINE CREEK","27",200,1964,"NONE"
"2431","CM","SKIDINE CREEK","27",NA,1965,"NONE"
"2432","CM","SKIDINE CREEK","27",NA,1966,"NONE"
"2433","CM","SKIDINE CREEK","27",NA,1967,"NONE"
"2434","CM","SKIDINE CREEK","27",NA,1968,"NONE"
"2435","CM","SKIDINE CREEK","27",25,1969,"NONE"
"2436","CM","SKIDINE CREEK","27",NA,1970,"NONE"
"2437","CM","SKIDINE CREEK","27",NA,1971,"NONE"
"2438","CM","SKIDINE CREEK","27",450,1972,"NONE"
"2439","CM","SKIDINE CREEK","27",50,1973,"NONE"
"2440","CM","SKIDINE CREEK","27",NA,1974,"NONE"
"2441","CM","SKIDINE CREEK","27",NA,1975,"NONE"
"2442","CM","SKIDINE CREEK","27",NA,1976,"NONE"
"2443","CM","SKIDINE CREEK","27",NA,1977,"NONE"
"2444","CM","SKIDINE CREEK","27",0,1978,"NONE"
"2445","CM","SKIDINE CREEK","27",75,1979,"NONE"
"2446","CM","SKIDINE CREEK","27",0,1980,"NONE"
"2447","CM","SKIDINE CREEK","27",0,1981,"NONE"
"2448","CM","SKIDINE CREEK","27",NA,1982,"NONE"
"2449","CM","SKIDINE CREEK","27",NA,1983,"NONE"
"2450","CM","SKIDINE CREEK","27",NA,1984,"NONE"
"2451","CM","SKIDINE CREEK","27",0,1985,"NONE"
"2452","CM","SKIDINE CREEK","27",0,1986,"NONE"
"2453","CM","SKIDINE CREEK","27",0,1987,"NONE"
"2454","CM","SKIDINE CREEK","27",0,1988,"NONE"
"2455","CM","SKIDINE CREEK","27",0,1989,"NONE"
"2456","CM","SKIDINE CREEK","27",NA,1990,"NONE"
"2457","CM","SKIDINE CREEK","27",0,1991,"NONE"
"2458","CM","SKIDINE CREEK","27",0,1992,"NONE"
"2459","CM","SKIDINE CREEK","27",NA,1993,"NONE"
"2460","CM","SKIDINE CREEK","27",NA,1994,"NONE"
"2461","CM","SKIDINE CREEK","27",0,1995,"NONE"
"2462","CM","SKIDINE CREEK","27",0,1996,"NONE"
"2463","CM","SKIDINE CREEK","27",NA,1997,"NONE"
"2464","CM","SKIDINE CREEK","27",0,1998,"NONE"
"2465","CM","SKIDINE CREEK","27",NA,1999,"NONE"
"2466","CM","SKIDINE CREEK","27",NA,2000,"NONE"
"2467","CM","SKIDINE CREEK","27",NA,2001,"NONE"
"2468","CM","SKIDINE CREEK","27",NA,2002,"NONE"
"2469","CM","SKIDINE CREEK","27",NA,2003,"NONE"
"2470","CM","SKIDINE CREEK","27",NA,2004,"NONE"
"2471","CM","SKIDINE CREEK","27",NA,2005,"NONE"
"2472","CM","SKIDINE CREEK","27",NA,2006,"NONE"
"2473","CM","SKIDINE CREEK","27",NA,2007,"NONE"
"2474","CM","SKIDINE CREEK","27",NA,2008,"NONE"
"2475","CM","SKIDINE CREEK","27",NA,2009,"NONE"
"2476","CM","SKIDINE CREEK","27",NA,2010,"NONE"
"2477","CM","SKIDINE CREEK","27",NA,2011,"NONE"
"2478","CM","SKIDINE CREEK","27",NA,2012,"NONE"
"2479","CM","SKIDINE CREEK","27",NA,2013,"NONE"
"2480","CM","SKIDINE CREEK","27",NA,2014,"NONE"
"2481","CM","SKIDINE CREEK","27",NA,2015,"NONE"
"2482","CM","SKIDINE CREEK","27",NA,2016,"NONE"
"2483","CM","SKIDINE CREEK","27",NA,2017,"NONE"
"2484","CM","SKIDINE CREEK","27",NA,2018,"NONE"
"2485","CM","JULIAN CREEK","27",NA,1950,"NONE"
"2486","CM","JULIAN CREEK","27",NA,1951,"NONE"
"2487","CM","JULIAN CREEK","27",NA,1952,"NONE"
"2488","CM","JULIAN CREEK","27",NA,1953,"NONE"
"2489","CM","JULIAN CREEK","27",NA,1954,"NONE"
"2490","CM","JULIAN CREEK","27",NA,1955,"NONE"
"2491","CM","JULIAN CREEK","27",NA,1956,"NONE"
"2492","CM","JULIAN CREEK","27",NA,1957,"NONE"
"2493","CM","JULIAN CREEK","27",NA,1958,"NONE"
"2494","CM","JULIAN CREEK","27",NA,1959,"NONE"
"2495","CM","JULIAN CREEK","27",NA,1960,"NONE"
"2496","CM","JULIAN CREEK","27",NA,1961,"NONE"
"2497","CM","JULIAN CREEK","27",NA,1962,"NONE"
"2498","CM","JULIAN CREEK","27",NA,1963,"NONE"
"2499","CM","JULIAN CREEK","27",NA,1964,"NONE"
"2500","CM","JULIAN CREEK","27",NA,1965,"NONE"
"2501","CM","JULIAN CREEK","27",NA,1966,"NONE"
"2502","CM","JULIAN CREEK","27",NA,1967,"NONE"
"2503","CM","JULIAN CREEK","27",NA,1968,"NONE"
"2504","CM","JULIAN CREEK","27",400,1969,"NONE"
"2505","CM","JULIAN CREEK","27",200,1970,"NONE"
"2506","CM","JULIAN CREEK","27",75,1971,"NONE"
"2507","CM","JULIAN CREEK","27",750,1972,"NONE"
"2508","CM","JULIAN CREEK","27",1000,1973,"NONE"
"2509","CM","JULIAN CREEK","27",200,1974,"NONE"
"2510","CM","JULIAN CREEK","27",75,1975,"NONE"
"2511","CM","JULIAN CREEK","27",25,1976,"NONE"
"2512","CM","JULIAN CREEK","27",16,1977,"NONE"
"2513","CM","JULIAN CREEK","27",25,1978,"NONE"
"2514","CM","JULIAN CREEK","27",25,1979,"NONE"
"2515","CM","JULIAN CREEK","27",25,1980,"NONE"
"2516","CM","JULIAN CREEK","27",50,1981,"NONE"
"2517","CM","JULIAN CREEK","27",50,1982,"NONE"
"2518","CM","JULIAN CREEK","27",NA,1983,"NONE"
"2519","CM","JULIAN CREEK","27",NA,1984,"NONE"
"2520","CM","JULIAN CREEK","27",150,1985,"NONE"
"2521","CM","JULIAN CREEK","27",200,1986,"NONE"
"2522","CM","JULIAN CREEK","27",300,1987,"NONE"
"2523","CM","JULIAN CREEK","27",350,1988,"NONE"
"2524","CM","JULIAN CREEK","27",50,1989,"NONE"
"2525","CM","JULIAN CREEK","27",25,1990,"NONE"
"2526","CM","JULIAN CREEK","27",300,1991,"NONE"
"2527","CM","JULIAN CREEK","27",300,1992,"NONE"
"2528","CM","JULIAN CREEK","27",150,1993,"NONE"
"2529","CM","JULIAN CREEK","27",NA,1994,"NONE"
"2530","CM","JULIAN CREEK","27",NA,1995,"NONE"
"2531","CM","JULIAN CREEK","27",200,1996,"NONE"
"2532","CM","JULIAN CREEK","27",NA,1997,"NONE"
"2533","CM","JULIAN CREEK","27",0,1998,"NONE"
"2534","CM","JULIAN CREEK","27",NA,1999,"NONE"
"2535","CM","JULIAN CREEK","27",NA,2000,"NONE"
"2536","CM","JULIAN CREEK","27",NA,2001,"NONE"
"2537","CM","JULIAN CREEK","27",NA,2002,"NONE"
"2538","CM","JULIAN CREEK","27",NA,2003,"NONE"
"2539","CM","JULIAN CREEK","27",NA,2004,"NONE"
"2540","CM","JULIAN CREEK","27",NA,2005,"NONE"
"2541","CM","JULIAN CREEK","27",NA,2006,"NONE"
"2542","CM","JULIAN CREEK","27",NA,2007,"NONE"
"2543","CM","JULIAN CREEK","27",NA,2008,"NONE"
"2544","CM","JULIAN CREEK","27",NA,2009,"NONE"
"2545","CM","JULIAN CREEK","27",NA,2010,"NONE"
"2546","CM","JULIAN CREEK","27",NA,2011,"NONE"
"2547","CM","JULIAN CREEK","27",NA,2012,"NONE"
"2548","CM","JULIAN CREEK","27",NA,2013,"NONE"
"2549","CM","JULIAN CREEK","27",NA,2014,"NONE"
"2550","CM","JULIAN CREEK","27",NA,2015,"NONE"
"2551","CM","JULIAN CREEK","27",NA,2016,"NONE"
"2552","CM","JULIAN CREEK","27",NA,2017,"NONE"
"2553","CM","JULIAN CREEK","27",NA,2018,"NONE"
"2554","CM","MAHWHIECLAS CREEK","27",NA,1950,"NONE"
"2555","CM","MAHWHIECLAS CREEK","27",NA,1951,"NONE"
"2556","CM","MAHWHIECLAS CREEK","27",NA,1952,"NONE"
"2557","CM","MAHWHIECLAS CREEK","27",NA,1953,"NONE"
"2558","CM","MAHWHIECLAS CREEK","27",NA,1954,"NONE"
"2559","CM","MAHWHIECLAS CREEK","27",NA,1955,"NONE"
"2560","CM","MAHWHIECLAS CREEK","27",NA,1956,"NONE"
"2561","CM","MAHWHIECLAS CREEK","27",NA,1957,"NONE"
"2562","CM","MAHWHIECLAS CREEK","27",NA,1958,"NONE"
"2563","CM","MAHWHIECLAS CREEK","27",NA,1959,"NONE"
"2564","CM","MAHWHIECLAS CREEK","27",NA,1960,"NONE"
"2565","CM","MAHWHIECLAS CREEK","27",NA,1961,"NONE"
"2566","CM","MAHWHIECLAS CREEK","27",NA,1962,"NONE"
"2567","CM","MAHWHIECLAS CREEK","27",NA,1963,"NONE"
"2568","CM","MAHWHIECLAS CREEK","27",NA,1964,"NONE"
"2569","CM","MAHWHIECLAS CREEK","27",NA,1965,"NONE"
"2570","CM","MAHWHIECLAS CREEK","27",NA,1966,"NONE"
"2571","CM","MAHWHIECLAS CREEK","27",NA,1967,"NONE"
"2572","CM","MAHWHIECLAS CREEK","27",NA,1968,"NONE"
"2573","CM","MAHWHIECLAS CREEK","27",75,1969,"NONE"
"2574","CM","MAHWHIECLAS CREEK","27",25,1970,"NONE"
"2575","CM","MAHWHIECLAS CREEK","27",25,1971,"NONE"
"2576","CM","MAHWHIECLAS CREEK","27",75,1972,"NONE"
"2577","CM","MAHWHIECLAS CREEK","27",100,1973,"NONE"
"2578","CM","MAHWHIECLAS CREEK","27",50,1974,"NONE"
"2579","CM","MAHWHIECLAS CREEK","27",25,1975,"NONE"
"2580","CM","MAHWHIECLAS CREEK","27",NA,1976,"NONE"
"2581","CM","MAHWHIECLAS CREEK","27",60,1977,"NONE"
"2582","CM","MAHWHIECLAS CREEK","27",0,1978,"NONE"
"2583","CM","MAHWHIECLAS CREEK","27",0,1979,"NONE"
